id;max_value;temp;temp.seq;latitude;longitude
198410174840;0.028;6.74303;6.74303;59.283333333333;4.0833333333333
198410174870;0.028;6.74303;6.74388074178585;59.133333333333;5
198410174880;0.027;6.74303;6.74473148357171;59.066666666667;5.05
198410174890;0.029;6.74303;6.74558222535756;59;5.15
198410174900;0.027;6.74303;6.74643296714341;58.933333333333;4.9833333333333
198410174910;0.031;6.74303;6.74728370892926;58.916666666667;4.5833333333333
198410174920;0.03;6.74303;6.74813445071511;58.85;4.1833333333333
198410174930;0.032;6.74303;6.74898519250097;58.8;3.7833333333333
198410174950;0.03;6.74303;6.74983593428682;58.583333333333;3.9166666666667
198410174960;0.029;6.74303;6.75068667607267;58.4;4.1166666666667
198410174970;0.029;6.74303;6.75153741785852;58.5;4.5166666666667
198410174990;0.028;6.74303;6.75238815964438;58.7;5.3666666666667
198410175000;0.029;6.74303;6.75323890143023;58.6;5.45
198410175010;0.031;6.74303;6.75408964321608;58.516666666667;5.5
198410175020;0.028;6.74303;6.75494038500193;58.483333333333;5.65
198410175030;0.03;6.74303;6.75579112678779;58.35;5.35
198410175040;0.029;6.74303;6.75664186857364;58.216666666667;5.3166666666667
198410175050;0.029;6.74303;6.75749261035949;58.1;5.1
198410175060;0.026;6.74303;6.75834335214534;58.083333333333;5.0666666666667
198410175070;0.024;6.74303;6.75919409393119;57.983333333333;5.4
198410175080;0.025;6.74303;6.76004483571705;58;5.4833333333333
198410175090;0.028;6.74303;6.7608955775029;58.25;6.0833333333333
198410175100;0.029;6.74303;6.76174631928875;58.066666666667;6
198410175110;0.027;6.74303;6.7625970610746;57.916666666667;5.7833333333333
198410175120;0.024;6.74303;6.76344780286046;57.866666666667;5.7666666666667
198410175130;0.03;6.74303;6.76429854464631;57.716666666667;6.1
198410175140;0.023;6.74303;6.76514928643216;57.633333333333;6.45
198410175150;0.028;6.74303;6.76600002821801;57.666666666667;6.4666666666667
198410175160;0.028;6.74303;6.76685077000387;57.716666666667;6.6833333333333
198410175190;0.026;6.74303;6.76770151178972;57.583333333333;7.45
198410175200;0.027;6.74303;6.76855225357557;57.55;7.4166666666667
198410175210;0.024;6.74303;6.76940299536142;57.483333333333;7.5666666666667
198410175220;0.025;6.74303;6.77025373714728;57.566666666667;6.9
198410175230;0.026;6.74303;6.77110447893313;57.566666666667;7.9333333333333
198410175250;0.024;6.74303;6.77195522071898;57.666666666667;8.5333333333333
198410175260;0.025;6.74303;6.77280596250483;57.683333333333;8.3666666666667
198410175270;0.029;6.74303;6.77365670429068;57.766666666667;8.45
198410175280;0.024;6.74303;6.77450744607654;57.8;8.9
198410175290;0.022;6.74303;6.77535818786239;57.866666666667;9.3333333333333
198410175300;0.025;6.74303;6.77620892964824;57.95;9.4333333333333
198410175320;0.024;6.74303;6.77705967143409;58.05;9.8666666666667
198410175330;0.027;6.74303;6.77791041321995;58.183333333333;10.216666666667
198410175340;0.028;6.74303;6.7787611550058;58.166666666667;10.416666666667
198410175350;0.025;6.74303;6.77961189679165;58.1;10.483333333333
198410175360;0.026;6.74303;6.7804626385775;58;10.95
198410175370;0.026;6.74303;6.78131338036335;58.066666666667;10.783333333333
198410175380;0.028;6.74303;6.78216412214921;58.316666666667;10.383333333333
198410175390;0.026;6.74303;6.78301486393506;58.433333333333;10.683333333333
198410175400;0.02;6.74303;6.78386560572091;58.6;10.333333333333
198410175410;0.025;6.74303;6.78471634750677;58.666666666667;10.4
198410175420;0.025;6.74303;6.78556708929262;58.683333333333;10.5
198410175430;0.027;6.74303;6.78641783107847;58.85;10.333333333333
198410175450;0.025;6.74303;6.78726857286432;58.766666666667;9.8
198410175470;0.029;6.74303;6.78811931465017;58.5;9.2166666666667
198410175480;0.029;6.74303;6.78897005643603;58.333333333333;8.9833333333333
198510175070;0.029;7.307889;6.78982079822188;59.283333333333;4.0833333333333
198510175080;0.032;7.307889;6.79067154000773;59.283333333333;3.6833333333333
198510175100;0.028;7.307889;6.79152228179358;59.133333333333;5
198510175110;0.029;7.307889;6.79237302357944;59.066666666667;5.05
198510175120;0.028;7.307889;6.79322376536529;59;5.15
198510175130;0.031;7.307889;6.79407450715114;58.916666666667;4.9666666666667
198510175140;0.032;7.307889;6.79492524893699;58.9;4.5833333333333
198510175150;0.029;7.307889;6.79577599072284;58.833333333333;4.2
198510175160;0.029;7.307889;6.7966267325087;58.033333333333;8.2666666666667
198510175170;0.029;7.307889;6.79747747429455;58.083333333333;8.4833333333333
198510175180;0.03;7.307889;6.7983282160804;58.2;8.75
198510175190;0.028;7.307889;6.79917895786625;58.383333333333;8.9833333333333
198510175200;0.028;7.307889;6.80002969965211;58.3;9.0333333333333
198510175230;0.028;7.307889;6.80088044143796;58.516666666667;9.1833333333333
198510175240;0.028;7.307889;6.80173118322381;58.533333333333;9.3
198510175250;0.027;7.307889;6.80258192500966;58.6;9.35
198510175260;0.027;7.307889;6.80343266679552;58.716666666667;9.6833333333333
198510175270;0.028;7.307889;6.80428340858137;58.75;9.8166666666667
198510175280;0.026;7.307889;6.80513415036722;58.816666666667;9.7833333333333
198510175290;0.024;7.307889;6.80598489215307;58.866666666667;10.333333333333
198510175300;0.022;7.307889;6.80683563393893;58.7;10.483333333333
198510175310;0.024;7.307889;6.80768637572478;58.633333333333;10.383333333333
198510175320;0.027;7.307889;6.80853711751063;58.6;10.333333333333
198510175330;0.026;7.307889;6.80938785929648;58.516666666667;10.616666666667
198510175340;0.028;7.307889;6.81023860108234;58.35;10.416666666667
198510175360;0.027;7.307889;6.81108934286819;58.116666666667;10.816666666667
